scene_name,rrt_star,arg=3,arg=4,arg=5,arg=6,arg=7,arg=8,arg=9
1.json,38.957914519053176,38.100835597725236,38.904829310428006,38.78934546363227,39.17552452116408,37.90628468040503,39.29510208645421,38.59900048004953
2.json,32.9262430686803,32.61693799906775,32.61693799906775,32.61693799906775,32.61693799906775,32.61693799906775,32.61693799906775,32.61693799906775
3.json,38.30243314290343,36.84628323681006,36.921031494194466,37.21154129047285,36.670897689716554,37.08892230784086,36.401034590461926,36.7165548235621
4.json,42.43099816029326,42.96556244597225,42.6813875119441,42.08331857393721,41.40167643491223,42.33806510499731,41.37664768625509,42.11517140235841
5.json,38.960659593649254,36.24441273447877,35.72010383559686,36.20831582655323,37.63962604050863,37.64666830522801,36.05271854439273,35.19376822723202
6.json,41.496002291114785,36.35533510953637,36.96565877884869,34.400285771595506,35.420678075608954,37.285265921283305,35.69784032346273,38.016552514305275
7.json,40.39572270384899,37.49925664890817,36.69046467315805,37.62336553722909,38.00152580897515,38.168352967762345,37.85859538278199,36.4486411110278
8.json,47.27452457147396,43.494463257383,41.9999904662585,43.39032665301373,43.217771787786155,43.032934265254546,44.311838020874575,43.34189940521271
9.json,38.4041961568988,34.46993245308524,35.241052870216244,35.062762350285894,35.09172238133971,34.646447872650086,34.960120886142846,35.33094927393644
10.json,32.065904104198424,31.811183797759533,31.811183797759533,31.811183797759533,31.811183797759533,31.811183797759533,31.811183797759533,31.811183797759533
11.json,54.92277311880882,45.904556376497375,45.26291245535901,44.83656881138093,45.31892814394627,44.862520058624185,45.79881826861409,46.29010003074459
12.json,47.04706707199334,41.99564641245431,42.08077185161295,40.536139581549364,40.982180743843784,43.07734723248596,41.41513840978415,43.08641677805344
13.json,46.24466813704629,41.25627351662446,43.09192696744879,42.898920650997994,40.524374708265675,41.56414953588158,42.581769566468424,41.302898071788896
14.json,46.128778950774674,43.316821876430865,40.937242310647164,42.28788806149765,42.0711433085246,40.877679341913236,43.997168246921134,42.490708344689764
15.json,34.166585738727335,32.68184291878724,32.493632327156035,32.3469967848558,31.101952141735445,31.143146993332117,31.132684292265377,31.181147852246255
16.json,50.26401728372333,48.985863270161374,49.739522796468734,48.93459855901851,48.8995879450919,48.59479319779267,48.97925839146855,49.25450594177166
17.json,48.806246614066154,35.96923435846786,35.90561555598564,35.92712499512621,36.835068693598494,34.091041517386074,35.8525811391615,37.07400518173232
18.json,52.07280634444403,37.589615691343965,37.61980418908452,38.57086309443559,37.219187100207236,40.98070010431026,37.890596994851876,38.155452220575114
19.json,34.39873807606007,32.12408190207402,33.0792387369626,32.091465748527526,32.45420297049769,33.1596094482307,32.840599910579684,32.46448314264542
20.json,47.8967948193427,48.75498283949552,47.593131846107745,48.292794252505544,47.81674027602679,50.00487680495017,48.812576677013865,48.82279081320779
